"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","AG","HMC","5","10","10","μ[2]","r_hat","0.9998458134378407"
"GMM","AG","HMC","5","10","5","w[1]","ess","45.57438981227674"
"GMM","AG","HMC","5","10","5","w[1]","r_hat","0.999822433774633"
"GMM","AG","HMC","5","10","5","w[2]","ess","45.57438981227674"
"GMM","AG","HMC","5","10","5","w[2]","r_hat","0.999822433774633"
"GMM","AG","HMC","5","10","5","z[1]","ess","52.63641295723778"
"GMM","AG","HMC","5","10","5","z[1]","r_hat","0.9998082005804536"
"GMM","AG","HMC","5","10","5","z[2]","ess","53.98055549830597"
"GMM","AG","HMC","5","10","5","z[2]","r_hat","0.9998014983631545"
"GMM","AG","HMC","5","10","5","z[3]","ess","51.86942661965976"
"GMM","AG","HMC","5","10","5","z[3]","r_hat","0.9998001481938352"
"GMM","AG","HMC","5","10","5","z[4]","ess","52.85521240946133"
"GMM","AG","HMC","5","10","5","z[4]","r_hat","0.9999226037280607"
"GMM","AG","HMC","5","10","5","z[5]","ess","55.4416628633408"
"GMM","AG","HMC","5","10","5","z[5]","r_hat","0.9999203492100394"
"GMM","AG","HMC","5","10","5","z[6]","ess","52.161750823254295"
"GMM","AG","HMC","5","10","5","z[6]","r_hat","0.9998026787991913"
"GMM","AG","HMC","5","10","5","z[7]","ess","52.588082874068256"
"GMM","AG","HMC","5","10","5","z[7]","r_hat","0.9998204095392107"
"GMM","AG","HMC","5","10","5","z[8]","ess","50.42292250844172"
"GMM","AG","HMC","5","10","5","z[8]","r_hat","0.9998743541839353"
"GMM","AG","HMC","5","10","5","z[9]","ess","52.32412121421029"
"GMM","AG","HMC","5","10","5","z[9]","r_hat","0.9998001482565629"
"GMM","AG","HMC","5","10","5","z[10]","ess","50.423607280602965"
"GMM","AG","HMC","5","10","5","z[10]","r_hat","0.9998244136824597"
"GMM","AG","HMC","5","10","5","μ[1]","ess","66.1447877347325"
"GMM","AG","HMC","5","10","5","μ[1]","r_hat","1.000189977771592"
"GMM","AG","HMC","5","10","5","μ[2]","ess","55.647229896519406"
"GMM","AG","HMC","5","10","5","μ[2]","r_hat","1.0006961366459495"
"GMM","AG","HMC","5","10","2","w[1]","ess","35.158810015725365"
"GMM","AG","HMC","5","10","2","w[1]","r_hat","0.9998716651578673"
"GMM","AG","HMC","5","10","2","w[2]","ess","35.158810015725365"
"GMM","AG","HMC","5","10","2","w[2]","r_hat","0.9998716651578673"
"GMM","AG","HMC","5","10","2","z[1]","ess","40.87970126800049"
"GMM","AG","HMC","5","10","2","z[1]","r_hat","0.9999653527969113"
"GMM","AG","HMC","5","10","2","z[2]","ess","38.66930870529576"
"GMM","AG","HMC","5","10","2","z[2]","r_hat","1.0000005570634587"
"GMM","AG","HMC","5","10","2","z[3]","ess","38.190333289524816"
"GMM","AG","HMC","5","10","2","z[3]","r_hat","0.9998250740123088"
"GMM","AG","HMC","5","10","2","z[4]","ess","38.72351539683385"
"GMM","AG","HMC","5","10","2","z[4]","r_hat","0.9999560596270151"
"GMM","AG","HMC","5","10","2","z[5]","ess","42.69243570055203"
"GMM","AG","HMC","5","10","2","z[5]","r_hat","0.999843096078786"
"GMM","AG","HMC","5","10","2","z[6]","ess","38.79845269777784"
"GMM","AG","HMC","5","10","2","z[6]","r_hat","1.0001828355300935"
"GMM","AG","HMC","5","10","2","z[7]","ess","38.8199358455928"
"GMM","AG","HMC","5","10","2","z[7]","r_hat","0.9998762549955376"
"GMM","AG","HMC","5","10","2","z[8]","ess","38.069346146657224"
"GMM","AG","HMC","5","10","2","z[8]","r_hat","1.0000644768667852"
"GMM","AG","HMC","5","10","2","z[9]","ess","38.60859297173437"
"GMM","AG","HMC","5","10","2","z[9]","r_hat","0.9998999164802375"
"GMM","AG","HMC","5","10","2","z[10]","ess","38.88441175132587"
"GMM","AG","HMC","5","10","2","z[10]","r_hat","1.0001835771035732"
"GMM","AG","HMC","5","10","2","μ[1]","ess","25.676684253861918"
"GMM","AG","HMC","5","10","2","μ[1]","r_hat","1.0158679012512144"
"GMM","AG","HMC","5","10","2","μ[2]","ess","36.57301928385446"
