model,discrete_algorithm,continuous_algorithm,particles,data_size,repetition,parameter,step,value
GMM,PG,MH,5,10,2,z[10],8,1.0
GMM,PG,MH,5,10,2,μ[1],8,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],8,1.141523690581188
GMM,PG,MH,5,10,2,w[1],9,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],9,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],9,1.0
GMM,PG,MH,5,10,2,z[2],9,1.0
GMM,PG,MH,5,10,2,z[3],9,1.0
GMM,PG,MH,5,10,2,z[4],9,1.0
GMM,PG,MH,5,10,2,z[5],9,2.0
GMM,PG,MH,5,10,2,z[6],9,1.0
GMM,PG,MH,5,10,2,z[7],9,1.0
GMM,PG,MH,5,10,2,z[8],9,1.0
GMM,PG,MH,5,10,2,z[9],9,2.0
GMM,PG,MH,5,10,2,z[10],9,1.0
GMM,PG,MH,5,10,2,μ[1],9,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],9,1.141523690581188
GMM,PG,MH,5,10,2,w[1],10,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],10,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],10,1.0
GMM,PG,MH,5,10,2,z[2],10,1.0
GMM,PG,MH,5,10,2,z[3],10,1.0
GMM,PG,MH,5,10,2,z[4],10,1.0
GMM,PG,MH,5,10,2,z[5],10,2.0
GMM,PG,MH,5,10,2,z[6],10,1.0
GMM,PG,MH,5,10,2,z[7],10,1.0
GMM,PG,MH,5,10,2,z[8],10,2.0
GMM,PG,MH,5,10,2,z[9],10,1.0
GMM,PG,MH,5,10,2,z[10],10,1.0
GMM,PG,MH,5,10,2,μ[1],10,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],10,1.141523690581188
GMM,PG,MH,5,10,3,w[1],1,0.9188615969710185
GMM,PG,MH,5,10,3,w[2],1,0.08113840302898145
GMM,PG,MH,5,10,3,z[1],1,2.0
GMM,PG,MH,5,10,3,z[2],1,2.0
GMM,PG,MH,5,10,3,z[3],1,2.0
GMM,PG,MH,5,10,3,z[4],1,2.0
GMM,PG,MH,5,10,3,z[5],1,2.0
GMM,PG,MH,5,10,3,z[6],1,2.0
GMM,PG,MH,5,10,3,z[7],1,2.0
