"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","PG","MH","5","10","10","z[10]","r_hat","1.1505091189889423"
"GMM","PG","MH","5","10","10","μ[1]","ess","2.0408163265306123"
"GMM","PG","MH","5","10","10","μ[1]","r_hat","2.6827203794563745"
"GMM","PG","MH","5","10","10","μ[2]","ess","2.0408163265306123"
"GMM","PG","MH","5","10","10","μ[2]","r_hat","2.8684074610689567"
"GMM","PG","HMC","5","10","1","w[1]","ess","22.102182428647403"
"GMM","PG","HMC","5","10","1","w[1]","r_hat","1.0275335496791198"
"GMM","PG","HMC","5","10","1","w[2]","ess","22.102182428647247"
"GMM","PG","HMC","5","10","1","w[2]","r_hat","1.027533549679121"
"GMM","PG","HMC","5","10","1","z[1]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[1]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[2]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[2]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[3]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[3]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[4]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[4]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[5]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[5]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[6]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[6]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[7]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[7]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[8]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[8]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[9]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[9]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","z[10]","ess","NaN"
"GMM","PG","HMC","5","10","1","z[10]","r_hat","NaN"
"GMM","PG","HMC","5","10","1","μ[1]","ess","104.06978641948236"
"GMM","PG","HMC","5","10","1","μ[1]","r_hat","0.989949495163079"
"GMM","PG","HMC","5","10","1","μ[2]","ess","10.100617151634966"
"GMM","PG","HMC","5","10","1","μ[2]","r_hat","0.9929780380632731"
"GMM","PG","HMC","5","10","2","w[1]","ess","2.0408163265306123"
"GMM","PG","HMC","5","10","2","w[1]","r_hat","2.8792400349675065"
"GMM","PG","HMC","5","10","2","w[2]","ess","2.0408163265306123"
"GMM","PG","HMC","5","10","2","w[2]","r_hat","2.8792400349675065"
"GMM","PG","HMC","5","10","2","z[1]","ess","2.065147966787311"
"GMM","PG","HMC","5","10","2","z[1]","r_hat","1.9578213698213205"
"GMM","PG","HMC","5","10","2","z[2]","ess","2.352009323495037"
"GMM","PG","HMC","5","10","2","z[2]","r_hat","1.6427266128719293"
"GMM","PG","HMC","5","10","2","z[3]","ess","2.134929887730192"
"GMM","PG","HMC","5","10","2","z[3]","r_hat","1.8802836665425424"
"GMM","PG","HMC","5","10","2","z[4]","ess","2.0943207078411716"
"GMM","PG","HMC","5","10","2","z[4]","r_hat","1.9850697952591514"
"GMM","PG","HMC","5","10","2","z[5]","ess","2.0866433640504183"
"GMM","PG","HMC","5","10","2","z[5]","r_hat","2.0735904327640933"
"GMM","PG","HMC","5","10","2","z[6]","ess","2.041792450574053"
"GMM","PG","HMC","5","10","2","z[6]","r_hat","2.175131300002095"
"GMM","PG","HMC","5","10","2","z[7]","ess","2.0408163265306123"
"GMM","PG","HMC","5","10","2","z[7]","r_hat","1.8802836665425424"
"GMM","PG","HMC","5","10","2","z[8]","ess","2.0408163265306123"
"GMM","PG","HMC","5","10","2","z[8]","r_hat","2.601768874814838"
"GMM","PG","HMC","5","10","2","z[9]","ess","2.1628416131730925"
"GMM","PG","HMC","5","10","2","z[9]","r_hat","1.8708286933869707"
"GMM","PG","HMC","5","10","2","z[10]","ess","2.21512541268701"
"GMM","PG","HMC","5","10","2","z[10]","r_hat","2.0458612824668183"
"GMM","PG","HMC","5","10","2","μ[1]","ess","30.920347973166493"
"GMM","PG","HMC","5","10","2","μ[1]","r_hat","1.0137099598236814"
"GMM","PG","HMC","5","10","2","μ[2]","ess","3.107190885275136"
"GMM","PG","HMC","5","10","2","μ[2]","r_hat","1.6215311739345826"
"GMM","PG","HMC","5","10","3","w[1]","ess","2.0408163265306123"
"GMM","PG","HMC","5","10","3","w[1]","r_hat","2.467563575075615"
"GMM","PG","HMC","5","10","3","w[2]","ess","2.0408163265306123"
"GMM","PG","HMC","5","10","3","w[2]","r_hat","2.467563575075615"
"GMM","PG","HMC","5","10","3","z[1]","ess","2.100320291758392"
"GMM","PG","HMC","5","10","3","z[1]","r_hat","1.6977493752543307"
"GMM","PG","HMC","5","10","3","z[2]","ess","2.067003034885409"
"GMM","PG","HMC","5","10","3","z[2]","r_hat","2.1105794120443453"
"GMM","PG","HMC","5","10","3","z[3]","ess","2.0867343317481724"
"GMM","PG","HMC","5","10","3","z[3]","r_hat","1.8073922282301278"
"GMM","PG","HMC","5","10","3","z[4]","ess","2.077484559236384"
"GMM","PG","HMC","5","10","3","z[4]","r_hat","1.941450686788302"
"GMM","PG","HMC","5","10","3","z[5]","ess","2.0954598370197903"
"GMM","PG","HMC","5","10","3","z[5]","r_hat","1.8708286933869707"
"GMM","PG","HMC","5","10","3","z[6]","ess","2.165392906133647"
"GMM","PG","HMC","5","10","3","z[6]","r_hat","1.7499999999999998"
"GMM","PG","HMC","5","10","3","z[7]","ess","2.0687777878595406"
"GMM","PG","HMC","5","10","3","z[7]","r_hat","2.0207259421636903"
"GMM","PG","HMC","5","10","3","z[8]","ess","2.0892151326933934"
"GMM","PG","HMC","5","10","3","z[8]","r_hat","1.941450686788302"
"GMM","PG","HMC","5","10","3","z[9]","ess","2.0505441136792877"
"GMM","PG","HMC","5","10","3","z[9]","r_hat","2.0207259421636903"
"GMM","PG","HMC","5","10","3","z[10]","ess","2.1351107094441932"
"GMM","PG","HMC","5","10","3","z[10]","r_hat","1.8708286933869707"
"GMM","PG","HMC","5","10","3","μ[1]","ess","2.727960287142748"
"GMM","PG","HMC","5","10","3","μ[1]","r_hat","1.5003854071686418"
"GMM","PG","HMC","5","10","3","μ[2]","ess","14.50218036573457"
"GMM","PG","HMC","5","10","3","μ[2]","r_hat","1.1302348425602349"
"GMM","PG","HMC","5","10","4","w[1]","ess","8.099602619120049"
"GMM","PG","HMC","5","10","4","w[1]","r_hat","1.0549178226414615"
"GMM","PG","HMC","5","10","4","w[2]","ess","8.099602619120049"
"GMM","PG","HMC","5","10","4","w[2]","r_hat","1.0549178226414615"
"GMM","PG","HMC","5","10","4","z[1]","ess","11.020089453523472"
"GMM","PG","HMC","5","10","4","z[1]","r_hat","1.0218915280409988"
"GMM","PG","HMC","5","10","4","z[2]","ess","9.66818026694236"
"GMM","PG","HMC","5","10","4","z[2]","r_hat","0.9998989847969543"
"GMM","PG","HMC","5","10","4","z[3]","ess","10.024425661105264"
"GMM","PG","HMC","5","10","4","z[3]","r_hat","1.049422283312524"
"GMM","PG","HMC","5","10","4","z[4]","ess","8.915419767358326"
"GMM","PG","HMC","5","10","4","z[4]","r_hat","1.0032380009182698"
"GMM","PG","HMC","5","10","4","z[5]","ess","13.079655795399182"
"GMM","PG","HMC","5","10","4","z[5]","r_hat","1.0015881428746147"
"GMM","PG","HMC","5","10","4","z[6]","ess","10.117161367748338"
"GMM","PG","HMC","5","10","4","z[6]","r_hat","0.9998989847969543"
"GMM","PG","HMC","5","10","4","z[7]","ess","10.858867380746846"
"GMM","PG","HMC","5","10","4","z[7]","r_hat","0.9986716841601964"
"GMM","PG","HMC","5","10","4","z[8]","ess","9.021403759784242"
"GMM","PG","HMC","5","10","4","z[8]","r_hat","1.0395231430896628"
"GMM","PG","HMC","5","10","4","z[9]","ess","7.81641352592922"
"GMM","PG","HMC","5","10","4","z[9]","r_hat","1.043498389499902"
"GMM","PG","HMC","5","10","4","z[10]","ess","7.482277835894571"
"GMM","PG","HMC","5","10","4","z[10]","r_hat","1.0964983925351715"
"GMM","PG","HMC","5","10","4","μ[1]","ess","8.502669705324633"
